12068,XXX-Smits Metalen Ramen,Postbus,5,5430 AA,Cuijk,NL
12069,E.W. Driessen BV,Oude Haagseweg,47,1066 BV,AMSTERDAM,NL
12070,Van Kooten Staalbouw BV,Dorpsstraat,13,3342 BB,HENDRIK IDO AMBACHT,NL
12071,ABB De Beitel,Postbus,81,6440 AB,BRUNSSUM,NL
12072,XXX-Fa. Progres,Rijsdijk,144,3161 EW,RHOON,NL
12073,Indutec,Strekkerweg,51,1033 DA,AMSTERDAM,NL
12074,Slaats,Weverstraat,2,5051 HZ,GOIRLE,NL
12075,Van Enckevort Groothandel BV,Horsterweg,31,5928 NB,VENLO,NL
12076,Damac Machines BV,Minervun,1317,4817ZJ,BREDA,NL
12077,Star Neon,Flevoweg,10,2318BZ,LEIDEN,NL
12078,Larob BV,Bosstraat,3,B-2960,BRECHT,BE
12079,ADR Construct BV,Herentalsebaan,451,B-2160,WOMMELGEM,BE
12080,IJzerwaren Vertommen,August Nobelstraat,13,B-2700,ST. NICOLAAS,BE
12081,XXX-Dijboraam BV,Nijverheidstraat,9,2671 DJ,NAALDWIJK,NL
12082,Calvet NV SA,Z.1. Researchpark,230,B-1731,ZELLIK,BE
12083,Bergmans,Zelm,5 (KAMER 9,B-2400,MOL,BE
12084,XXX-Eland-Brandt  BV,Distelweg,78,1031HH,AMSTERDAM,NL
12085,Nijman Lichtreklame BV,Oudeweg,145,2031 CC,HAARLEM,NL
12086,XXX Planika NV SA,Doornboomstraat,45-47,,,BE
12087,Voskamp Bouw en Industrie,Bornerbroeksestraat,459 D,7609PK,ALMELO,NL
12088,Glaverbel Zeebrugge,Lisseweegsestw,,B-8380,ZEEBRUGGE,BE
12089,Landuyt NV,Kolvestraat,44,B-8000,BRUGGE,BE
12090,XXX-Kiba BV,Ambachtsatraat,17,2861EW,BERGAMBACHT,NL
12091,Jongewaard Slijptechniek BV,Oester,20,1723HW,NOORD SCHARWOUDE,NL
12092,XXX-Franken NV,Tiestersteenweg,182,B-3818,NIEUWERKERKEN,BE
12093,Goodtool BV,Knokseweg,1,B-9910,KNESSELARE,BE
12094,Syntec Monster Gorinchem,Galvaniweg,6,4207HM,GORINCHEM,NL
12095,Van Boven  Kunststoffen BV,Schelluinsestraat,52-56,4203NN,GORINCHEM,NL
12096,Radio Zeeland,Industrieweg,17,4538 AG,TERNEUZEN,NL
12097,Vrij Insituut St. Huex,Gelukstede,2,B-9700,OUDENAARDE,BE
12098,Scheppers Kunststof,Smensestraat,6,6461 GA,KERKRADE,NL
12099,Pover Weesp BV,Flevolaan,7,1382JX,WEESP,NL
